date,Administrative,Commissioning,Enclosure,Interior,Pre-Construction,Structure,Unknown
2022-11-07,0,1,1,9,1,12,0
2022-11-22,2,1,49,94,10,280,0
2022-12-05,4,4,110,230,24,686,0
2022-12-07,3,2,67,139,12,378,0
2022-12-26,3,1,51,75,26,187,0
2023-01-09,5,1,70,82,30,225,0
2023-01-18,4,0,40,68,34,204,0
2023-01-30,3,0,49,64,40,281,0
2023-03-26,5,1,185,189,58,787,0
2023-04-09,4,2,250,264,156,1126,0
2023-04-23,1,0,131,142,69,586,0
2023-05-07,2,1,88,120,59,454,0
2023-05-22,3,1,109,328,64,590,0
2023-06-04,1,1,103,274,62,552,0
2023-06-18,8,2,268,704,122,1362,0
2023-07-02,3,1,104,347,64,713,0
2023-07-16,2,1,105,358,58,648,0
2023-08-20,6,1,129,496,60,578,0
2023-09-03,5,1,135,549,41,608,0
2023-09-15,8,1,43,165,23,233,0
2023-10-01,8,1,202,663,50,565,0
2023-10-15,6,1,238,834,48,598,0
2023-10-29,8,1,318,913,52,866,0
2023-11-26,12,2,371,969,47,894,0
2023-12-10,15,2,367,892,47,879,0
2023-12-31,49,24,755,1786,85,1772,0
2024-01-21,34,22,411,889,38,925,0
2024-02-04,36,22,390,903,33,847,0
2024-02-09,35,21,445,900,42,874,0
2024-03-22,37,24,559,807,37,629,0
2024-04-08,33,24,545,844,52,630,0
2024-04-19,22,26,557,839,48,621,0
2024-05-31,26,25,519,831,64,501,0
2024-06-14,32,18,460,807,76,514,0
2024-06-28,29,18,395,794,89,496,0
2024-07-12,37,18,369,788,87,463,0
2024-08-09,33,28,385,888,78,462,0
2024-08-23,28,19,351,853,78,425,0
2024-09-20,24,20,276,840,83,316,0
2024-10-04,21,9,270,788,93,267,0
2024-10-18,21,7,278,896,91,228,0
2024-11-01,16,6,232,832,79,223,0
2024-11-29,15,4,194,827,63,184,0
2024-12-13,14,4,194,912,57,184,0
2024-12-27,14,4,179,913,57,182,0
2025-01-10,28,8,350,1824,90,330,0
2025-01-24,14,4,157,908,46,158,1
2025-02-07,15,4,155,1032,53,154,1
2025-02-21,18,5,138,1029,49,148,1
2025-03-28,0,1,0,8,0,2,0
2025-04-04,0,1,0,8,0,2,0
2025-05-02,0,1,0,8,0,2,0
2025-05-23,3,1,2,0,5,1,0
2025-06-06,3,1,3,0,6,1,0
2025-07-18,0,1,0,5,0,2,0
2025-08-22,4,1,28,15,18,4,0
2025-09-12,5,1,23,83,6,0,0
2025-10-03,6,1,31,21,12,5,0
2025-10-17,16,2,70,86,42,40,0
2025-10-31,16,1,36,666,22,24,0
2025-11-20,37,1,52,1092,58,49,0
