date,total_cp_tasks,total_cp_duration
2022-11-07,24,417.0
2022-11-22,436,6195.75
2022-12-05,529,7000.625
2022-12-07,601,8016.125
2022-12-26,343,5129.875
2023-01-09,413,6488.25
2023-01-18,350,5034.625
2023-01-30,437,5564.75
2023-03-26,1225,9045.0
2023-04-09,901,6814.625
2023-04-23,929,6753.625
2023-05-07,724,4090.75
2023-05-22,1095,5503.5
2023-06-04,993,5021.75
2023-06-18,1233,6054.0
2023-07-02,1232,5676.75
2023-07-16,1172,5356.125
2023-08-20,1270,6388.875
2023-09-03,1339,6468.875
2023-09-15,473,2795.5
2023-10-01,1489,7991.825
2023-10-15,1725,9068.075
2023-10-29,2158,10835.7625
2023-11-26,2295,11910.6375
2023-12-10,2202,11791.5125
2023-12-31,2377,13665.8875
2024-01-21,2319,13606.3125
2024-02-04,2231,13161.675
2024-02-09,2317,13759.025
2024-03-22,2093,12083.358333333334
2024-04-08,2128,13200.6
2024-04-19,2113,15158.75
2024-05-31,1966,13909.5
2024-06-14,1907,14272.775
2024-06-28,1821,13534.9
2024-07-12,1762,13635.15
2024-08-09,1874,15149.5
2024-08-23,1754,14366.25
2024-09-20,1559,12742.0
2024-10-04,1448,12204.75
2024-10-18,1521,11591.0
2024-11-01,1388,10582.0
2024-11-29,1287,9882.0
2024-12-13,1365,10309.0
2024-12-27,1349,10160.0
2025-01-10,1315,9747.25
2025-01-24,1288,9563.25
2025-02-07,1414,10237.75
2025-02-21,1388,10026.5
2025-03-28,11,193.75
2025-04-04,11,221.25
2025-05-02,11,216.25
2025-05-23,12,175.0
2025-06-06,14,193.75
2025-07-18,8,150.0
2025-08-22,70,1030.0
2025-09-12,118,498.25
2025-10-03,76,728.375
2025-10-17,128,1138.25
2025-10-31,765,3696.375
2025-11-20,1289,6754.75
