category,tasks,duration_days,percentage,category_type
Administrative - Impacts,2870,29392.85,24.584546856261777,Administrative
Decomposition - Interior Finishes,2210,12571.125,18.93095768374165,Decomposition
Other,2143,9254.422916625,18.357032722288846,Other
Decomposition - Doors,1719,5855.75,14.725029981154702,Decomposition
Decomposition - Installation,894,4893.0,7.65804351550454,Decomposition
Decomposition - Elevators,452,2396.7,3.8718519787562107,Decomposition
Decomposition - DSAD/Penetrations,343,2086.125,2.93815316087031,Decomposition
Decomposition - Framing/Fireproofing,290,1856.25,2.484152818228542,Decomposition
Decomposition - MEP,269,1502.625,2.3042658900119926,Decomposition
Administrative - Milestone Addition,169,362.5,1.447661469933185,Administrative
Decomposition - Coatings,108,672.75,0.9251327736851122,Decomposition
Administrative - Submittals,104,888.75,0.8908685968819599,Administrative
New Scope - Remediation/Rework,92,1022.5,0.7880760664725031,New Scope
New Scope - IMP Panels,11,191.0,0.09422648620866883,New Scope
