actv_code_type_id,actv_short_len,seq_num,actv_code_type,proj_id,wbs_id,actv_code_type_scope,export_flag
257385,4,21370,RESPONSABILITY,,,AS_Global,
519874,7,9942,Z-IINTERIOR TRADE,122698,,AS_Project,
519875,14,10042,Z-PHASE (High Level),122698,,AS_Project,
519876,14,9943,Z-TRADE,122698,,AS_Project,
519877,7,10510,Z-LEVEL,122698,,AS_Project,
519878,10,6281,Z-AREA,122698,,AS_Project,
519879,7,6280,Z-BLDG,122698,,AS_Project,
519880,7,9941,Z-BID PACKAGE,122698,,AS_Project,
519881,7,9940,Z-DELAY CODES,122698,,AS_Project,
519882,7,10044,Z-CONC-AREA,122698,,AS_Project,
519883,7,6288,YATES-OWNER,122698,,AS_Project,
519884,7,10412,Z-PUBLISH,122698,,AS_Project,
519885,18,10040,Z-RESPONSIBLE,122698,,AS_Project,
519886,7,10610,Z-ROOM,122698,,AS_Project,
519887,7,10710,Z-REPORTING,122698,,AS_Project,
519888,7,10515,Z-WW_PIPERACK,122698,,AS_Project,
519889,7,10810,Z-SUB CONTRACTOR,122698,,AS_Project,
519890,7,10910,Z-EXT-AREA,122698,,AS_Project,
519891,7,11010,Z-EXT-OPS,122698,,AS_Project,
519892,7,10711,z- L4& L6 SLAB & TOPPING SLAB,122698,,AS_Project,
519893,7,10811,Z-MANPREET,122698,,AS_Project,
519894,7,10713,Z-BOWERS,122698,,AS_Project,
519895,7,10614,Z- SAMI DCC- BEAMS,122698,,AS_Project,
519896,7,11110,Z-MEP IMPACTS,122698,,AS_Project,
519897,7,6287,Z - TRUSS Fireproofing,122698,,AS_Project,
519898,7,11210,Z-IMPACT REPORT,122698,,AS_Project,
519899,7,11310,Z-HAMID PHOTOS,122698,,AS_Project,
519900,7,11410,Z-JMEG REQUEST,122698,,AS_Project,
519901,7,6287,Z - REMIADIATIOMN,122698,,AS_Project,
519902,7,11212,Z-PH WALL,122698,,AS_Project,
519903,7,10714,Z-JOSH REPORT,122698,,AS_Project,
519904,7,10715,Z-JOSH REPORT-2,122698,,AS_Project,
519905,7,10716,Z-ELEVATOR 01 BANK,122698,,AS_Project,
519906,7,10041,Z- L3 DRYWALL & FP,122698,,AS_Project,
519907,7,10717,Z-PERRYPERRY,122698,,AS_Project,
519908,7,10718,Z-ELEVATOR REPORT,122698,,AS_Project,
519909,7,10612,Z-DS WP L6,122698,,AS_Project,
519910,7,10613,Z-PARAPET RF,122698,,AS_Project,
519911,7,10911,Z-GL 3,122698,,AS_Project,
519912,7,11211,Z-ELEV BOLTS,122698,,AS_Project,
519913,7,10712,Z-PATRIOT,122698,,AS_Project,
519914,7,10514,Z-ROOF IMPACTS,122698,,AS_Project,
519915,7,10512,Z-STAIR PRIME,122698,,AS_Project,
519916,7,10511,Z- WAFFLE POCKET AREAS,122698,,AS_Project,
519917,7,10513,Z-INT STAIR CREW,122698,,AS_Project,
519919,7,6280,ACTIVITY PRIORITY,122698,,AS_Project,
519920,7,6287,Z-DryWall Area,122698,,AS_Project,
557964,7,6282,TCO - FAB1,63541,3541663,AS_EPS,
564787,7,0,Trade Partner,63540,3541662,AS_EPS,
564844,7,100,Activity Category,63540,3541662,AS_EPS,
