rsrc_rate_id,rsrc_id,max_qty_per_hr,cost_per_qty,start_date,shift_period_id,cost_per_qty2,cost_per_qty3,cost_per_qty4,cost_per_qty5
26380,49814,1,0.0000,2022-01-01 00:00,,,,,
26381,49815,1,0.0000,2022-01-01 00:00,,,,,
26383,49817,1,0.0000,2022-01-01 00:00,,,,,
26396,49827,1,0.0000,2022-01-01 00:00,,,,,
26422,49856,1,0.0000,2022-01-01 00:00,,,,,
26424,49858,1,0.0000,2022-01-01 00:00,,,,,
26442,50043,1,0.0000,2022-01-01 00:00,,,,,
26443,50044,1,0.0000,2022-01-01 00:00,,,,,
26444,50045,1,0.0000,2022-01-01 00:00,,,,,
26447,50055,1,0.0000,2022-01-01 00:00,,,,,
26448,50056,1,0.0000,2022-01-01 00:00,,,,,
26449,50057,1,0.0000,2022-01-01 00:00,,,,,
26450,50058,1,0.0000,2022-01-01 00:00,,,,,
26451,50059,1,0.0000,2022-01-01 00:00,,,,,
26452,50060,1,0.0000,2022-01-01 00:00,,,,,
26454,50062,1,0.0000,2022-01-01 00:00,,0.0000,0.0000,0.0000,0.0000
26455,50063,1,0.0000,2022-01-01 00:00,,,,,
26456,50064,1,0.0000,2022-01-01 00:00,,,,,
26457,50065,1,0.0000,2022-01-01 00:00,,,,,
26461,50069,1,0.0000,2022-01-01 00:00,,,,,
26463,50071,1,0.0000,2022-01-01 00:00,,,,,
26464,50072,1,0.0000,2022-01-01 00:00,,,,,
26465,50073,1,0.0000,2022-01-01 00:00,,,,,
26528,50136,1,0.0000,2022-01-01 00:00,,,,,
26529,50137,1,0.0000,2022-01-01 00:00,,,,,
26532,50140,1,0.0000,2022-01-01 00:00,,,,,
26533,50142,1,0.0000,2022-01-01 00:00,,,,,
26534,50141,1,0.0000,2022-01-01 00:00,,,,,
26537,50145,1,0.0000,2022-01-01 00:00,,,,,
26547,50169,26.25,0.0000,2022-01-01 00:00,,,,,
27108,52661,1,0.0000,2023-01-01 00:00,,,,,
