udf_type_id,table_name,udf_type_name,udf_type_label,logical_data_type,super_flag,indicator_expression,summary_indicator_expression,export_flag
430,TASK,user_field_430,MSP Activity ID,FT_TEXT,N,,,
438,TASK,user_field_438,Notes,FT_TEXT,N,,,
599,TASK,user_field_599,User Text 1,FT_TEXT,N,,,
1048,TASKPROC,user_field_1048,user_cost1,FT_MONEY,N,,,
1049,TASKPROC,user_field_1049,user_number1,FT_FLOAT_2_DECIMALS,N,,,
4648,TASK,user_field_4648,user_text1,FT_TEXT,N,,,
4649,TASK,user_field_4649,user_text2,FT_TEXT,N,,,
16347,TASK,user_field_16347,z_actv_text_03,FT_TEXT,N,,,
16400,TASK,user_field_16400,user_text4,FT_TEXT,N,,,
16401,TASK,user_field_16401,user_text6,FT_TEXT,N,,,
16403,TASK,user_field_16403,user_text8,FT_TEXT,N,,,
18449,TASK,user_field_18449,Responsible,FT_TEXT,N,,,
18492,TASK,user_field_18492,Notebook,FT_TEXT,N,,,
21156,TASK,user_field_21156,AWS-SUS-COMMENTS,FT_TEXT,N,,,
21191,TASK,user_field_21191,Comments-1,FT_TEXT,N,,,
21284,TASK,user_field_21284,COMMENTS/NOTES,FT_TEXT,N,,,
21338,TASK,user_field_21338,Responsible Party,FT_TEXT,N,,,
21646,TASK,user_field_21646,Milestones,FT_TEXT,N,,,
21660,TASK,user_field_21660,Impacting,FT_TEXT,N,,,
21899,TASK,user_field_21899,AA,FT_TEXT,N,,,
22149,TASK,user_field_22149,* Notes,FT_TEXT,N,,,
22278,TASK,user_field_22278,*Notes,FT_TEXT,N,,,
22295,TASK,user_field_22295,*** Notes & Comments ***,FT_TEXT,N,,,
24068,TASK,user_field_24068,RA - COSM Durat,FT_INT,N,,,
24075,TASK,user_field_24075,Tesla Duration,FT_INT,N,,,
24306,TASK,user_field_24306,Act Name Pref,FT_TEXT,N,,,
24468,TASK,user_field_24468,(New)-1,FT_STATICTYPE,N,,,
24658,TASK,user_field_24658,*Comments,FT_TEXT,N,,,
25943,TASK,user_field_25943,FAB1-Comments,FT_TEXT,N,,,
25970,TASK,user_field_25970,RA-Comments,FT_TEXT,N,,,
25993,TASK,user_field_25993,RA-Large At Compl. Duation,FT_FLOAT_2_DECIMALS,N,,,
26744,TASK,user_field_26744,FAB1-Constraint,FT_TEXT,N,,,
27589,TASK,user_field_27589,OOS DOORS & DRWL,FT_TEXT,N,,,
27642,TASK,user_field_27642,[BRG: ACT. PRIORITY],FT_TEXT,N,,,
